Customer ID,Gender,Age,Income (USD/Month)
29290,1,28,10813
27703,1,27,9237
28712,1,53,11242
28020,1,23,23327
27182,1,33,8536
27318,1,25,13984
33788,1,23,23788
34106,1,19,19980
59799,1,33,19271
57982,1,57,5068
58774,1,20,23602
58627,1,28,27338
59007,1,63,6683
58215,1,25,6862
59372,1,53,4912
57950,1,58,16997
59533,1,29,17520
58346,1,27,21650
58925,1,38,26550
58551,1,25,21734
59804,1,31,4550
57200,1,23,3268
57931,1,40,5666
3077,1,22,16759
4734,1,33,30608
4004,1,18,3896
5528,1,34,14974
5785,1,21,11230
3714,1,33,4521
3746,1,24,2371
4289,1,19,28719
5777,1,24,28850
3571,1,44,15166
4779,1,27,6416
5734,1,23,22475
3051,1,30,34757
5915,1,26,24115
5628,1,33,15231
3125,1,25,9562
4813,1,46,24809
4682,1,62,6075
3787,1,27,33382
5029,1,53,3015
3600,1,20,4277
4606,1,27,8633
3546,1,47,5340
5707,1,20,15397
4457,1,22,18960
3330,1,46,5216
5094,1,43,27243
5284,1,53,5084
5741,1,44,21700
25949,1,32,31491
24086,1,60,19410
25155,1,27,10997
25247,1,26,24178
24530,1,47,10312
24144,1,52,21243
30718,1,52,20255
30769,1,51,33152
31634,1,47,2880
30725,1,29,4437
8693,1,21,15024
8354,1,48,12229
8953,1,38,10973
7409,1,18,7182
8448,1,62,7002
7598,1,33,10791
7475,1,52,21930
8197,1,27,18995
8159,1,40,12634
8543,1,39,20564
8702,1,20,3795
8661,1,46,31986
8624,1,45,24169
6318,1,61,28764
8420,1,30,3193
7309,1,23,15247
8091,1,23,21938
6940,1,40,2067
8927,1,19,17197
7002,1,54,24555
8555,1,27,8465
6214,1,53,9447
6068,1,33,8788
8125,1,28,17969
7723,1,58,2948
8773,1,37,25735
8488,1,52,4690
7277,1,23,20528
7342,1,30,31080
8820,1,20,10416
8069,1,22,13610
7317,1,19,16209
6343,1,42,17207
6941,1,54,17067
7974,1,41,21855
8294,1,28,14024
7355,1,31,6166
7451,1,19,4391
7924,1,26,23137
6458,1,20,14682
6017,1,35,22130
7615,1,24,17363
6236,1,61,12821
7432,1,36,31294
7199,1,31,20802
7388,1,37,10894
8745,1,26,13927
6437,1,32,19793
7928,1,36,14286
6465,1,46,3249
6249,1,31,12237
7836,1,64,8890
7539,1,40,24169
7940,1,57,13452
8600,1,28,7168
8846,1,33,10251
8751,1,34,17745
8586,1,37,3513
7927,1,62,14300
11224,1,18,2913
9584,1,31,22812
11646,1,32,17133
55370,1,27,12845
54452,1,25,23628
2416,1,28,21399
2060,1,18,8149
1451,1,35,23989
1609,1,30,23036
2927,1,33,14520
2626,1,18,30401
502,1,28,15285
2571,1,33,4620
769,1,63,29758
373,1,27,5070
533,1,52,15974
1217,1,51,3122
2039,1,32,19358
590,1,62,18608
2828,1,28,15198
98,1,35,12557
591,1,39,19842
2146,1,31,16697
16700,1,32,3161
15732,1,38,15171
15400,1,48,2363
16786,1,55,20325
17470,1,30,22310
15487,1,64,4615
22557,1,38,8808
22469,1,37,4378
50246,1,28,3616
48443,1,64,3605
47364,1,35,11059
46934,1,46,18329
45834,1,23,19821
20330,1,53,28591
20687,1,39,8926
20206,1,18,24295
19851,1,25,9085
18893,1,39,7144
18179,1,40,9175
18556,1,24,29066
20552,1,19,19174
19699,1,38,15794
19462,1,60,18407
19038,1,39,11046
18849,1,20,6780
18418,1,39,13112
20760,1,36,24307
20474,1,21,11296
18656,1,33,15077
18865,1,35,32151
18817,1,40,5038
19185,1,19,30500
18488,1,37,22441
19961,1,29,24779
18498,1,19,17313
20869,1,58,8692
18241,1,39,28198
